regiao;municipio;atividade;produção;ano;valor
Planalto;Alecrim;Pastagem;Baixa;2018;14000
Planalto;Alegria;Grãos;Alta;2015;31183
Planalto;Alegria;Grãos;Alta;2016;35500
Planalto;Alegria;Grãos;Alta;2017;38400
Planalto;Alegria;Grãos;Alta;2018;38400
Planalto;Alegria;Grãos;Baixa;2015;22433
Planalto;Alegria;Grãos;Baixa;2016;26700
Planalto;Alegria;Grãos;Baixa;2017;25400
Planalto;Alegria;Grãos;Baixa;2018;25400
Planalto;Alegria;Pastagem;Baixa;2015;13022
Planalto;Alegria;Pastagem;Baixa;2016;14000
Planalto;Alegria;Pastagem;Baixa;2017;14000
Planalto;Alegria;Pastagem;Baixa;2018;14000
Planalto;Almirante Tamandaré do Sul;Grãos;Alta;2015;31183
Planalto;Almirante Tamandaré do Sul;Grãos;Alta;2016;35500
Planalto;Almirante Tamandaré do Sul;Grãos;Alta;2017;38400
Planalto;Almirante Tamandaré do Sul;Grãos;Alta;2018;38400
Planalto;Almirante Tamandaré do Sul;Grãos;Baixa;2015;22433
Planalto;Almirante Tamandaré do Sul;Grãos;Baixa;2016;26700
Planalto;Almirante Tamandaré do Sul;Grãos;Baixa;2017;25400
Planalto;Almirante Tamandaré do Sul;Grãos;Baixa;2018;25400
Planalto;Almirante Tamandaré do Sul;Pastagem;Baixa;2015;13022
Planalto;Almirante Tamandaré do Sul;Pastagem;Baixa;2016;14000
Planalto;Almirante Tamandaré do Sul;Pastagem;Baixa;2017;14000
Planalto;Almirante Tamandaré do Sul;Pastagem;Baixa;2018;14000
Planalto;Alpestre;Grãos;Alta;2015;31183
Planalto;Alpestre;Grãos;Alta;2016;35500
Planalto;Alpestre;Grãos;Alta;2017;38400
Planalto;Alpestre;Grãos;Alta;2018;38400
Planalto;Alpestre;Grãos;Baixa;2015;22433
Planalto;Alpestre;Grãos;Baixa;2016;26700
Planalto;Alpestre;Grãos;Baixa;2017;25400
Planalto;Alpestre;Grãos;Baixa;2018;25400
Planalto;Alpestre;Pastagem;Baixa;2015;13022
Planalto;Alpestre;Pastagem;Baixa;2016;14000
Planalto;Alpestre;Pastagem;Baixa;2017;14000
Planalto;Alpestre;Pastagem;Baixa;2018;14000
Planalto;Alto Alegre;Grãos;Alta;2015;31183
Planalto;Alto Alegre;Grãos;Alta;2016;35500
Planalto;Alto Alegre;Grãos;Alta;2017;38400
Planalto;Alto Alegre;Grãos;Alta;2018;38400
Planalto;Alto Alegre;Grãos;Baixa;2015;22433
Planalto;Alto Alegre;Grãos;Baixa;2016;26700
Planalto;Alto Alegre;Grãos;Baixa;2017;25400
Planalto;Alto Alegre;Grãos;Baixa;2018;25400
Planalto;Alto Alegre;Pastagem;Baixa;2015;13022
Planalto;Alto Alegre;Pastagem;Baixa;2016;14000
Planalto;Alto Alegre;Pastagem;Baixa;2017;14000
Planalto;Alto Alegre;Pastagem;Baixa;2018;14000
Planalto;Ametista do Sul;Grãos;Alta;2015;31183
Planalto;Ametista do Sul;Grãos;Alta;2016;35500
Planalto;Ametista do Sul;Grãos;Alta;2017;38400
Planalto;Ametista do Sul;Grãos;Alta;2018;38400
Planalto;Ametista do Sul;Grãos;Baixa;2015;22433
Planalto;Ametista do Sul;Grãos;Baixa;2016;26700
Planalto;Ametista do Sul;Grãos;Baixa;2017;25400
Planalto;Ametista do Sul;Grãos;Baixa;2018;25400
Planalto;Ametista do Sul;Pastagem;Baixa;2015;13022
Planalto;Ametista do Sul;Pastagem;Baixa;2016;14000
Planalto;Ametista do Sul;Pastagem;Baixa;2017;14000
Planalto;Ametista do Sul;Pastagem;Baixa;2018;14000
Planalto;Aratiba;Grãos;Alta;2015;31183
Planalto;Aratiba;Grãos;Alta;2016;35500
Planalto;Aratiba;Grãos;Alta;2017;38400
Planalto;Aratiba;Grãos;Alta;2018;38400
Planalto;Aratiba;Grãos;Baixa;2015;22433
Planalto;Aratiba;Grãos;Baixa;2016;26700
Planalto;Aratiba;Grãos;Baixa;2017;25400
Planalto;Aratiba;Grãos;Baixa;2018;25400
Planalto;Aratiba;Pastagem;Baixa;2015;13022
Planalto;Aratiba;Pastagem;Baixa;2016;14000
Planalto;Aratiba;Pastagem;Baixa;2017;14000
Planalto;Aratiba;Pastagem;Baixa;2018;14000
Planalto;Augusto Pestana;Grãos;Alta;2015;31183
Planalto;Augusto Pestana;Grãos;Alta;2016;35500
Planalto;Augusto Pestana;Grãos;Alta;2017;38400
Planalto;Augusto Pestana;Grãos;Alta;2018;38400
Planalto;Augusto Pestana;Grãos;Baixa;2015;22433
Planalto;Augusto Pestana;Grãos;Baixa;2016;26700
Planalto;Augusto Pestana;Grãos;Baixa;2017;25400
Planalto;Augusto Pestana;Grãos;Baixa;2018;25400
Planalto;Augusto Pestana;Pastagem;Baixa;2015;13022
Planalto;Augusto Pestana;Pastagem;Baixa;2016;14000
Planalto;Augusto Pestana;Pastagem;Baixa;2017;14000
Planalto;Augusto Pestana;Pastagem;Baixa;2018;14000
Planalto;Áurea;Grãos;Alta;2015;31183
Planalto;Áurea;Grãos;Alta;2016;35500
Planalto;Áurea;Grãos;Alta;2017;38400
Planalto;Áurea;Grãos;Alta;2018;38400
Planalto;Áurea;Grãos;Baixa;2015;22433
Planalto;Áurea;Grãos;Baixa;2016;26700
Planalto;Áurea;Grãos;Baixa;2017;25400
Planalto;Áurea;Grãos;Baixa;2018;25400
Planalto;Áurea;Pastagem;Baixa;2015;13022
Planalto;Áurea;Pastagem;Baixa;2016;14000
Planalto;Áurea;Pastagem;Baixa;2017;14000
Planalto;Áurea;Pastagem;Baixa;2018;14000
Planalto;Barão de Cotegipe;Grãos;Alta;2015;31183
Planalto;Barão de Cotegipe;Grãos;Alta;2016;35500
Planalto;Barão de Cotegipe;Grãos;Alta;2017;38400
Planalto;Barão de Cotegipe;Grãos;Alta;2018;38400
Planalto;Barão de Cotegipe;Grãos;Baixa;2015;22433
Planalto;Barão de Cotegipe;Grãos;Baixa;2016;26700
Planalto;Barão de Cotegipe;Grãos;Baixa;2017;25400
Planalto;Barão de Cotegipe;Grãos;Baixa;2018;25400
Planalto;Barão de Cotegipe;Pastagem;Baixa;2015;13022
Planalto;Barão de Cotegipe;Pastagem;Baixa;2016;14000
Planalto;Barão de Cotegipe;Pastagem;Baixa;2017;14000
Planalto;Barão de Cotegipe;Pastagem;Baixa;2018;14000
Planalto;Barra do Guarita;Grãos;Alta;2015;31183
Planalto;Barra do Guarita;Grãos;Alta;2016;35500
Planalto;Barra do Guarita;Grãos;Alta;2017;38400
Planalto;Barra do Guarita;Grãos;Alta;2018;38400
Planalto;Barra do Guarita;Grãos;Baixa;2015;22433
Planalto;Barra do Guarita;Grãos;Baixa;2016;26700
Planalto;Barra do Guarita;Grãos;Baixa;2017;25400
Planalto;Barra do Guarita;Grãos;Baixa;2018;25400
Planalto;Barra do Guarita;Pastagem;Baixa;2015;13022
Planalto;Barra do Guarita;Pastagem;Baixa;2016;14000
Planalto;Barra do Guarita;Pastagem;Baixa;2017;14000
Planalto;Barra do Guarita;Pastagem;Baixa;2018;14000
Planalto;Barra do Rio Azul;Grãos;Alta;2015;31183
Planalto;Barra do Rio Azul;Grãos;Alta;2016;35500
Planalto;Barra do Rio Azul;Grãos;Alta;2017;38400
Planalto;Barra do Rio Azul;Grãos;Alta;2018;38400
Planalto;Barra do Rio Azul;Grãos;Baixa;2015;22433
Planalto;Barra do Rio Azul;Grãos;Baixa;2016;26700
Planalto;Barra do Rio Azul;Grãos;Baixa;2017;25400
Planalto;Barra do Rio Azul;Grãos;Baixa;2018;25400
Planalto;Barra do Rio Azul;Pastagem;Baixa;2015;13022
Planalto;Barra do Rio Azul;Pastagem;Baixa;2016;14000
Planalto;Barra do Rio Azul;Pastagem;Baixa;2017;14000
Planalto;Barra do Rio Azul;Pastagem;Baixa;2018;14000
Planalto;Barra Funda;Grãos;Alta;2015;31183
Planalto;Barra Funda;Grãos;Alta;2016;35500
Planalto;Barra Funda;Grãos;Alta;2017;38400
Planalto;Barra Funda;Grãos;Alta;2018;38400
Planalto;Barra Funda;Grãos;Baixa;2015;22433
Planalto;Barra Funda;Grãos;Baixa;2016;26700
Planalto;Barra Funda;Grãos;Baixa;2017;25400
Planalto;Barra Funda;Grãos;Baixa;2018;25400
Planalto;Barra Funda;Pastagem;Baixa;2015;13022
Planalto;Barra Funda;Pastagem;Baixa;2016;14000
Planalto;Barra Funda;Pastagem;Baixa;2017;14000
Planalto;Barra Funda;Pastagem;Baixa;2018;14000
Planalto;Barracão;Grãos;Alta;2015;31183
Planalto;Barracão;Grãos;Alta;2016;35500
Planalto;Barracão;Grãos;Alta;2017;38400
Planalto;Barracão;Grãos;Alta;2018;38400
Planalto;Barracão;Grãos;Baixa;2015;22433
Planalto;Barracão;Grãos;Baixa;2016;26700
Planalto;Barracão;Grãos;Baixa;2017;25400
Planalto;Barracão;Grãos;Baixa;2018;25400
Planalto;Barracão;Pastagem;Baixa;2015;13022
Planalto;Barracão;Pastagem;Baixa;2016;14000
Planalto;Barracão;Pastagem;Baixa;2017;14000
Planalto;Barracão;Pastagem;Baixa;2018;14000
Planalto;Benjamin Constant do Sul;Grãos;Alta;2015;31183
Planalto;Benjamin Constant do Sul;Grãos;Alta;2016;35500
Planalto;Benjamin Constant do Sul;Grãos;Alta;2017;38400
Planalto;Benjamin Constant do Sul;Grãos;Alta;2018;38400
Planalto;Benjamin Constant do Sul;Grãos;Baixa;2015;22433
Planalto;Benjamin Constant do Sul;Grãos;Baixa;2016;26700
Planalto;Benjamin Constant do Sul;Grãos;Baixa;2017;25400
Planalto;Benjamin Constant do Sul;Grãos;Baixa;2018;25400
Planalto;Benjamin Constant do Sul;Pastagem;Baixa;2015;13022
Planalto;Benjamin Constant do Sul;Pastagem;Baixa;2016;14000
Planalto;Benjamin Constant do Sul;Pastagem;Baixa;2017;14000
Planalto;Benjamin Constant do Sul;Pastagem;Baixa;2018;14000
Planalto;Boa Vista das Missões;Grãos;Alta;2015;31183
Planalto;Boa Vista das Missões;Grãos;Alta;2016;35500
Planalto;Boa Vista das Missões;Grãos;Alta;2017;38400
Planalto;Boa Vista das Missões;Grãos;Alta;2018;38400
Planalto;Boa Vista das Missões;Grãos;Baixa;2015;22433
Planalto;Boa Vista das Missões;Grãos;Baixa;2016;26700
Planalto;Boa Vista das Missões;Grãos;Baixa;2017;25400
Planalto;Boa Vista das Missões;Grãos;Baixa;2018;25400
Planalto;Boa Vista das Missões;Pastagem;Baixa;2015;13022
Planalto;Boa Vista das Missões;Pastagem;Baixa;2016;14000
Planalto;Boa Vista das Missões;Pastagem;Baixa;2017;14000
Planalto;Boa Vista das Missões;Pastagem;Baixa;2018;14000
Planalto;Boa Vista do Buricá;Grãos;Alta;2015;31183
Planalto;Boa Vista do Buricá;Grãos;Alta;2016;35500
Planalto;Boa Vista do Buricá;Grãos;Alta;2017;38400
Planalto;Boa Vista do Buricá;Grãos;Alta;2018;38400
Planalto;Boa Vista do Buricá;Grãos;Baixa;2015;22433
Planalto;Boa Vista do Buricá;Grãos;Baixa;2016;26700
Planalto;Boa Vista do Buricá;Grãos;Baixa;2017;25400
Planalto;Boa Vista do Buricá;Grãos;Baixa;2018;25400
Planalto;Boa Vista do Buricá;Pastagem;Baixa;2015;13022
Planalto;Boa Vista do Buricá;Pastagem;Baixa;2016;14000
Planalto;Boa Vista do Buricá;Pastagem;Baixa;2017;14000
Planalto;Boa Vista do Buricá;Pastagem;Baixa;2018;14000
Planalto;Boa Vista do Cadeado;Grãos;Alta;2015;31183
Planalto;Boa Vista do Cadeado;Grãos;Alta;2016;35500
Planalto;Boa Vista do Cadeado;Grãos;Alta;2017;38400
Planalto;Boa Vista do Cadeado;Grãos;Alta;2018;38400
Planalto;Boa Vista do Cadeado;Grãos;Baixa;2015;22433
Planalto;Boa Vista do Cadeado;Grãos;Baixa;2016;26700
Planalto;Boa Vista do Cadeado;Grãos;Baixa;2017;25400
Planalto;Boa Vista do Cadeado;Grãos;Baixa;2018;25400
Planalto;Boa Vista do Cadeado;Pastagem;Baixa;2015;13022
Planalto;Boa Vista do Cadeado;Pastagem;Baixa;2016;14000
Planalto;Boa Vista do Cadeado;Pastagem;Baixa;2017;14000
Planalto;Boa Vista do Cadeado;Pastagem;Baixa;2018;14000
Planalto;Boa Vista do Incra;Grãos;Alta;2015;31183
Planalto;Boa Vista do Incra;Grãos;Alta;2016;35500
Planalto;Boa Vista do Incra;Grãos;Alta;2017;38400
Planalto;Boa Vista do Incra;Grãos;Alta;2018;38400
Planalto;Boa Vista do Incra;Grãos;Baixa;2015;22433
Planalto;Boa Vista do Incra;Grãos;Baixa;2016;26700
